country,countryCode,city,isp,org,as,query,valid
France,FR,Strasbourg,OVH SAS,OVH Srl,AS16276 OVH SAS,178.32.137.165,True
France,FR,Paris,Oracle Corporation,Oracle Corporation,AS31898 Oracle Corporation,89.168.43.31,True
France,FR,Roubaix,OVH SAS,OVH,AS16276 OVH SAS,5.196.27.246,True
France,FR,Paris,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.59.121.116,True
France,FR,Gravelines,OVH SAS,OVH,AS16276 OVH SAS,54.36.100.7,True
France,FR,Strasbourg,OVH SAS,OVH,AS16276 OVH SAS,54.38.0.166,True
France,FR,Paris,CGI GLOBAL LIMITED,LLC Flex,AS56971 AS56971 Cloud,45.156.27.178,True
France,FR,Paris,OVH SAS,co Bestla,AS16276 OVH SAS,141.94.187.142,True
France,FR,Paris,OVH SAS,OVH Ltd,AS16276 OVH SAS,94.23.120.129,True
France,FR,Paris,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,46.8.224.150,True
France,FR,Paris,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.56.48.14,True
France,FR,Paris,OVH SAS,co Bestla,AS16276 OVH SAS,37.59.157.4,True
France,FR,Paris,OVH SAS,OVH HOSTING OY,AS16276 OVH SAS,188.165.137.201,True
France,FR,Paris,OVH SAS,OVH SAS,AS16276 OVH SAS,92.222.24.213,True
France,FR,Paris,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.59.121.248,True
France,FR,Paris,OVH SAS,Private person,AS16276 OVH SAS,45.112.195.95,True
France,FR,Paris,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,45.84.88.241,True
France,FR,Roubaix,OVH SAS,OVH BV,AS16276 OVH SAS,94.23.144.99,True
France,FR,Paris,OVH SAS,Private person,AS16276 OVH SAS,82.117.245.53,True
France,FR,Paris,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,217.60.36.42,True
France,FR,Paris,Oracle Corporation,Oracle Corporation,AS31898 Oracle Corporation,158.178.206.197,True
France,FR,Roubaix,OVH SAS,OVH BV,AS16276 OVH SAS,94.23.147.223,True
France,FR,Gravelines,OVH SAS,OVH,AS16276 OVH SAS,141.94.223.220,True
France,FR,Gravelines,OVH SAS,OVH,AS16276 OVH SAS,54.36.103.135,True
France,FR,Paris,OVH SAS,Private person,AS16276 OVH SAS,82.117.245.58,True
France,FR,Roubaix,OVH SAS,OVH SAS,AS16276 OVH SAS,188.165.54.172,True
France,FR,Paris,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,94.183.186.206,True
France,FR,Strasbourg,OVH SAS,OVH.CZ s.r.o,AS16276 OVH SAS,94.23.168.201,True
France,FR,Paris,OVH SAS,Private person,AS16276 OVH SAS,45.112.195.207,True
France,FR,Paris,OVH SAS,Private person,AS16276 OVH SAS,82.117.245.125,True
France,FR,Roubaix,OVH SAS,OVH BV,AS16276 OVH SAS,94.23.147.217,True
France,FR,Paris,OVH SAS,OVH.CZ s.r.o,AS16276 OVH SAS,94.23.169.3,True
France,FR,Paris,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.59.120.62,True
France,FR,Paris,OVH SAS,OVH HOSTING OY,AS16276 OVH SAS,188.165.137.202,True
France,FR,Paris,OVH SAS,Private person,AS16276 OVH SAS,45.112.195.46,True
France,FR,Gravelines,OVH SAS,OVH,AS16276 OVH SAS,141.94.222.214,True
