country,countryCode,city,isp,org,as,query,valid
Kazakhstan,KZ,Almaty,PS Internet Company LLP,Onehost VPS,AS48716 PS Internet Company LLP,185.253.8.65,True
Kazakhstan,KZ,Almaty,PS Internet Company LLP,Onehost VPS,AS48716 PS Internet Company LLP,185.253.8.64,True
Kazakhstan,KZ,Almaty,Scalaxy B.V.,3NT SOLUTIONS LLP,AS58061 Scalaxy B.V.,38.180.37.102,True
Kazakhstan,KZ,Almaty,"LLP ""Kompaniya Hoster.KZ""","TOO ""Kompaniya Hoster.KZ""",AS202958 Hoster.KZ - Almaty,86.107.198.133,True
Kazakhstan,KZ,Almaty,PS Internet Company LLC,PS Internet Company LLC,AS39318 PS Internet Company LLP,85.202.193.54,True
Kazakhstan,KZ,Almaty,PS Internet Company LLP,Onelabrange,AS48716 PS Internet Company LLP,83.97.77.63,True
Kazakhstan,KZ,Almaty,Megahost KZ Uralsk,,AS208450 Megahost Kazakhstan TOO,45.136.57.82,True
Kazakhstan,KZ,Almaty,"JSC ""TIMEWEB""",TW Cloud,AS9123 JSC TIMEWEB,92.118.115.22,True
Kazakhstan,KZ,Almaty,PS Internet Company LLP,Onelabrange,AS48716 PS Internet Company LLP,83.97.77.35,True
Kazakhstan,KZ,Almaty,PS Internet Company LLP,Onehost VPS,AS48716 PS Internet Company LLP,185.253.8.44,True
