country,countryCode,city,isp,org,as,query,valid
United Arab Emirates,AE,Abu Dhabi,PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,GoldIPv4,AS48678 PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,31.56.229.101,True
United Arab Emirates,AE,Abu Dhabi,PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,GoldIPv4,AS48678 PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,31.56.229.6,True
United Arab Emirates,AE,Dubai,M247 Europe SRL,EDIS GmbH,AS9009 M247 Europe SRL,89.31.120.139,True
United Arab Emirates,AE,Dubai,Amazon Technologies Inc.,Amazon Data Services UAE,"AS16509 Amazon.com, Inc.",3.29.76.68,True
United Arab Emirates,AE,Dubai,Microsoft Corporation,Microsoft Azure Cloud (uaenorth),AS8075 Microsoft Corporation,20.174.15.226,True
United Arab Emirates,AE,Dubai,M247 Europe SRL,Edis UAE,AS9009 M247 Europe SRL,103.57.251.124,True
United Arab Emirates,AE,Abu Dhabi,PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,GoldIPv4,AS48678 PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,31.56.176.22,True
United Arab Emirates,AE,Dubai,M247 Europe SRL,3NT SOLUTIONS LLP,AS9009 M247 Europe SRL,38.180.11.15,True
United Arab Emirates,AE,Abu Dhabi,PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,GoldIPv4,AS48678 PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,31.56.229.173,True
United Arab Emirates,AE,Dubai,M247 Europe SRL,Edis UAE,AS9009 M247 Europe SRL,103.57.251.208,True
United Arab Emirates,AE,Abu Dhabi,GoldIPv,GoldIPv4,AS210457 Kyonix Networks Limited,217.60.245.147,True
United Arab Emirates,AE,Dubai,FranTech Solutions,Cloudzy AI,AS14956 RouterHosting LLC,172.86.76.126,True
United Arab Emirates,AE,Abu Dhabi,PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,GoldIPv4,AS48678 PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,31.56.177.213,True
United Arab Emirates,AE,Abu Dhabi,PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,GoldIPv4,AS48678 PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,31.56.178.52,True
United Arab Emirates,AE,Dubai,Zenlayer Inc,,AS21859 Zenlayer Inc,181.214.100.168,True
United Arab Emirates,AE,Dubai,Oracle Corporation,Oracle Cloud Infrastructure (me-dubai-1),AS31898 Oracle Corporation,193.123.81.105,True
United Arab Emirates,AE,Dubai,CLOUD-NETWORK,,AS9009 M247 Europe SRL,176.97.66.175,True
United Arab Emirates,AE,Dubai,Kaopu Cloud HK Limited,Kaopu Cloud,AS138915 Kaopu Cloud HK Limited,38.54.8.167,True
United Arab Emirates,AE,Abu Dhabi,PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,GoldIPv4,AS48678 PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,31.56.178.151,True
United Arab Emirates,AE,Dubai,M247 Europe Infra,M247 Europe,AS9009 M247 Europe SRL,146.70.131.100,True
United Arab Emirates,AE,Abu Dhabi,PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,GoldIPv4,AS48678 PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,31.56.178.194,True
United Arab Emirates,AE,Dubai,Oracle Corporation,Oracle Cloud Infrastructure (me-dubai-1),AS31898 Oracle Corporation,193.123.90.212,True
