country,countryCode,city,isp,org,as,query,valid
Austria,AT,Vienna,M247 Europe SRL,3NT SOLUTIONS LLP,AS9009 M247 Europe SRL,38.180.59.113,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,95.163.153.198,True
Austria,AT,Vienna,xorek.cloud International LTD,xorek.cloud International LTD,AS210644 AEZA INTERNATIONAL LTD,212.113.106.4,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,85.192.27.204,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,193.233.232.9,True
Austria,AT,Vienna,xorek.cloud International LTD,xorek.cloud International LTD,AS210644 AEZA INTERNATIONAL LTD,212.113.106.13,True
Austria,AT,Vienna,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,185.211.103.220,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,77.110.110.224,True
Austria,AT,Wiener Neustadt,M247 Europe SRL,M247 Vienna,AS9009 M247 Europe SRL,130.195.222.215,True
Austria,AT,Vienna,Aeza International LTD,RTM GmbH,AS210644 AEZA INTERNATIONAL LTD,62.60.239.111,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,77.110.110.82,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,95.163.176.140,True
Austria,AT,Vienna,Aeza International LTD,RTM GmbH,AS210644 AEZA INTERNATIONAL LTD,62.60.239.239,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,85.192.42.218,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,95.163.176.65,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,85.192.27.124,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,85.192.42.89,True
Austria,AT,Vienna,Aeza International LTD,RTM GmbH,AS210644 AEZA INTERNATIONAL LTD,62.60.239.134,True
Austria,AT,Liezen District,Global Connectivity Solutions LLP,Global Connectivity Solutions LLP,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,178.22.31.76,True
Austria,AT,Vienna,Alwyzon,Hohl IT e.U.,AS40994 Hohl IT e.U.,83.138.55.113,True
Austria,AT,Vienna,Aeza International LTD,AEZA-ORG,AS210644 AEZA INTERNATIONAL LTD,78.153.130.88,True
Austria,AT,Langenzersdorf,Hohl IT e.U.,Alwyzon,AS40994 Hohl IT e.U.,193.219.97.83,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,85.192.42.186,True
Austria,AT,Liezen District,Global Connectivity Solutions LLP,Global Connectivity Solutions LLP,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,87.251.69.44,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,77.110.116.87,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,77.110.116.223,True
Austria,AT,Vienna,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,95.164.1.195,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,85.192.27.165,True
Austria,AT,Vienna,HostHatch,HostHatch LLC,"AS63473 HostHatch, LLC",185.175.58.196,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,85.192.42.157,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,77.110.110.254,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,85.192.42.63,True
Austria,AT,Vienna,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,5.181.21.95,True
Austria,AT,Vienna,xorek.cloud International LTD,xorek.cloud International LTD,AS210644 AEZA INTERNATIONAL LTD,193.233.233.105,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,95.163.153.32,True
Austria,AT,Vienna,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,77.110.116.117,True
