country,countryCode,city,isp,org,as,query,valid
Australia,AU,Sydney,"Akamai Technologies, Inc.","Linode, LLC",AS63949 Akamai Connected Cloud,194.195.252.133,True
Australia,AU,Sydney,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",134.199.156.129,True
Australia,AU,Sydney,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",170.64.227.71,True
Australia,AU,Sydney,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",170.64.193.41,True
Australia,AU,Sydney,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",209.38.84.245,True
Australia,AU,Sydney,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",209.38.30.4,True
Australia,AU,Sydney,Oracle Corporation,Oracle Cloud Infrastructure (ap-sydney-1),AS31898 Oracle Corporation,192.9.175.224,True
Australia,AU,Sydney,Akamai Technologies,Linode,AS63949 Akamai Connected Cloud,172.105.191.21,True
Australia,AU,Melbourne,Oracle Corporation,Oracle Cloud Infrastructure (ap-melbourne-1),AS31898 Oracle Corporation,207.211.153.234,True
Australia,AU,Sydney,Oracle Corporation,Oracle Cloud Infrastructure (ap-sydney-1),AS31898 Oracle Corporation,140.238.201.118,True
Australia,AU,Sydney,Akamai Technologies,Linode,AS63949 Akamai Connected Cloud,172.105.187.131,True
Australia,AU,Sydney,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",209.38.87.103,True
Australia,AU,Sydney,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",134.199.166.182,True
Australia,AU,Sydney,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",170.64.230.86,True
Australia,AU,Sydney,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",170.64.188.46,True
Australia,AU,Sydney,Oracle Corporation,Oracle Cloud Infrastructure (ap-sydney-1),AS31898 Oracle Corporation,152.67.125.174,True
Australia,AU,Sydney,"Akamai Technologies, Inc.",Linode,AS63949 Akamai Connected Cloud,192.46.221.238,True
Australia,AU,Melbourne,Oracle Corporation,Oracle Cloud Infrastructure (ap-melbourne-1),AS31898 Oracle Corporation,152.69.186.167,True
Australia,AU,Sydney,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",209.38.26.207,True
Australia,AU,North Sydney,OVH SAS,OVH Australia PTY LTD,AS16276 OVH SAS,51.161.196.38,True
Australia,AU,Melbourne,Oracle Corporation,Oracle Cloud Infrastructure (ap-melbourne-1),AS31898 Oracle Corporation,207.211.158.26,True
Australia,AU,Sydney,"Akamai Technologies, Inc.","Linode, LLC",AS63949 Akamai Connected Cloud,194.195.123.209,True
