country,countryCode,city,isp,org,as,query,valid
Belgium,BE,Brussels,Google LLC,Google Cloud (europe-west1),AS15169 Google LLC,35.210.99.51,True
Belgium,BE,Brussels,Google LLC,Google Cloud (europe-west1),AS396982 Google LLC,34.22.190.30,True
Belgium,BE,Brussels,EDIS GmbH,EDIS GmbH,AS57169 EDIS GmbH,194.71.227.213,True
Belgium,BE,Brussels,Global Connectivity Solutions LLP,Quasar LLC,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,141.98.233.6,True
Belgium,BE,Brussels,EDIS GmbH,EDIS GmbH,AS57169 EDIS GmbH,188.190.26.243,True
Belgium,BE,Brussels,Google LLC,Google Cloud (europe-west1),AS396982 Google LLC,104.155.124.198,True
Belgium,BE,Brussels,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,194.87.240.67,True
Belgium,BE,Brussels,GCS SER,,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,113.30.152.144,True
Belgium,BE,Brussels,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.83.20.29,True
Belgium,BE,Brussels,Google LLC,Google Cloud (europe-west1),AS396982 Google LLC,35.241.172.224,True
Belgium,BE,Brussels,HZ Hosting Ltd,HZ Hosting Ltd,AS59711 HZ Hosting Ltd,98.142.254.194,True
