country,countryCode,city,isp,org,as,query,valid
Bulgaria,BG,Sofia,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,95.164.21.123,True
Bulgaria,BG,Sofia,M247 Europe SRL,3NT SOLUTIONS LLP,AS9009 M247 Europe SRL,38.180.2.140,True
Bulgaria,BG,Sofia,First Server Limited,First Server Limited,AS200740 FIRST SERVER LIMITED,193.239.160.25,True
Bulgaria,BG,Sofia,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,146.19.80.84,True
Bulgaria,BG,Sofia,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,146.19.80.36,True
Bulgaria,BG,Sofia,Alexhost SRL,Alexhost SRL,AS200019 ALEXHOST SRL,5.181.1.94,True
Bulgaria,BG,Sofia,Alexhost SRL,Alexhost SRL,AS200019 ALEXHOST SRL,5.181.1.181,True
Bulgaria,BG,Sofia,M247 Europe SRL,Urban Network Solutions SRL,AS9009 M247 Europe SRL,85.121.54.96,True
Bulgaria,BG,Sofia,First Server Limited,First Server Limited,AS200740 FIRST SERVER LIMITED,193.239.161.187,True
Bulgaria,BG,Sofia,First Server Limited,First Server Limited,AS200740 FIRST SERVER LIMITED,193.239.160.89,True
Bulgaria,BG,Sofia,Alexhost SRL,Alexhost SRL,AS200019 ALEXHOST SRL,5.181.1.17,True
Bulgaria,BG,Sofia,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,146.19.80.68,True
Bulgaria,BG,Sofia,First Server Limited,First Server Limited,AS200740 FIRST SERVER LIMITED,193.239.161.9,True
Bulgaria,BG,Sofia,Alexhost SRL,Alexhost SRL,AS200019 ALEXHOST SRL,5.181.1.215,True
Bulgaria,BG,Sofia,Alexhost SRL,Alexhost SRL,AS200019 ALEXHOST SRL,5.181.1.63,True
Bulgaria,BG,Sofia,SEBEK sp. z o.o,GuardNetwork,AS216129 SEBEK sp. z o.o,148.253.214.10,True
Bulgaria,BG,Sofia,Alexhost SRL,Alexhost SRL,AS200019 ALEXHOST SRL,5.181.1.52,True
Bulgaria,BG,Sofia,Baxet Group Inc.,Neterra Ltd,AS26383 Baxet Group Inc.,31.13.248.119,True
