country,countryCode,city,isp,org,as,query,valid
Switzerland,CH,Hünenberg,Datasource AG,Servinga6869,AS51395 Datasource AG,185.195.69.72,True
Switzerland,CH,Hünenberg,FORNEX,Fornex Hosting S.L.,AS51395 Datasource AG,79.132.141.96,True
Switzerland,CH,Bern,RouterHosting LLC,anyNode,AS14956 RouterHosting LLC,45.59.124.177,True
Switzerland,CH,Zurich,HostHatch,HostHatch,"AS63473 HostHatch, LLC",103.63.30.230,True
Switzerland,CH,Zurich,Oracle Corporation,Oracle Cloud Infrastructure (eu-zurich-1),AS31898 Oracle Corporation,152.67.64.55,True
Switzerland,CH,Bern,RouterHosting LLC,anyNode,AS14956 RouterHosting LLC,45.59.124.39,True
Switzerland,CH,Zurich,Global Connectivity Solutions LLP,Global Connectivity Solutions LLP,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,213.176.18.108,True
Switzerland,CH,Bern,RouterHosting LLC,anyNode,AS14956 RouterHosting LLC,45.59.117.92,True
Switzerland,CH,Zurich,EDIS GmbH,EDIS GmbH,AS57169 EDIS GmbH,151.236.27.200,True
Switzerland,CH,Hünenberg,Datasource AG,Servinga6869,AS51395 Datasource AG,185.195.69.158,True
Switzerland,CH,Zurich,Global Connectivity Solutions LLP,Global Connectivity Solutions LLP,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,87.120.222.207,True
Switzerland,CH,Zurich,Global Connectivity Solutions LLP,Global Connectivity Solutions LLP,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,171.22.16.237,True
Switzerland,CH,Zurich,"Amazon.com, Inc.",Amazon Technologies Inc,"AS16509 Amazon.com, Inc.",51.34.85.34,True
Switzerland,CH,Hünenberg,FORNEX,Fornex Hosting S.L.,AS51395 Datasource AG,199.68.196.119,True
Switzerland,CH,Bern,Big Data Host LLC,GLB Bulut Teknolojisi Limited Sirketi,AS215346 Big Data Host LLC,91.245.225.69,True
Switzerland,CH,Zurich,OVH SAS,OVH CH,AS16276 OVH SAS,141.227.139.220,True
Switzerland,CH,Zurich,Global Connectivity Solutions LLP,Global Connectivity Solutions LLP,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,45.95.232.191,True
Switzerland,CH,Hünenberg,Datasource AG,Servinga6869,AS51395 Datasource AG,185.195.69.173,True
Switzerland,CH,Geneva,Netgrid Host LTD,NetGrid Host LTD,AS202051 NETGRID HOST LTD,167.148.183.40,True
Switzerland,CH,Hünenberg,Datasource AG,,AS51395 Datasource AG,91.192.102.55,True
