country,countryCode,city,isp,org,as,query,valid
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.53,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.2,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.114,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.21,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.58,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.32,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.40,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.83,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.138,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.123,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.5,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.77,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.146,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.99,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.103,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.10,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.88,True
Cyprus,CY,Limassol,Cloudlayer8 Limited,BlueVPS OU,AS197648 CLOUDLAYER8 LIMITED,194.55.164.118,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.17,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.18,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.41,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.98,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.113,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.74,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.115,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.84,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.73,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.34,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.96,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.79,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.9,True
Cyprus,CY,Nicosia,I.M.A. Software Future Solutions Ltd,I.M.A. Software Future Solutions Ltd,AS204610 I.M.A. Software Future Solutions Ltd,153.80.242.119,True
