country,countryCode,city,isp,org,as,query,valid
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.168,True
Czechia,CZ,Prague,SmartApe OU,ESA,AS62212 SmartApe OU,91.184.248.250,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.140,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.147,True
Czechia,CZ,Prague,Green Floid LLC,Friendhosting LTD,AS204957 GREEN FLOID LLC,185.253.46.235,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.161,True
Czechia,CZ,Prague,SmartApe OU,ESA,AS62212 SmartApe OU,91.199.160.230,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.146,True
Czechia,CZ,Prague,SmartApe OU,SmartApe OU,AS62212 SmartApe OU,109.172.9.38,True
Czechia,CZ,Prague,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.15.162.45,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.136,True
Czechia,CZ,Prague,SmartApe OU,SmartApe OU,AS62212 SmartApe OU,85.137.165.190,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.166,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.210,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.142,True
Czechia,CZ,Prague,SmartApe OU,ESA,AS62212 SmartApe OU,91.199.160.188,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.143,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.219,True
Czechia,CZ,Prague,Green Floid LLC,Friendhosting LTD,AS204957 GREEN FLOID LLC,185.253.46.5,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.150,True
Czechia,CZ,Prague,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,171.22.127.164,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.234,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.208,True
Czechia,CZ,Prague,SmartApe OU,SmartApe OU,AS62212 SmartApe OU,85.137.165.164,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.235,True
Czechia,CZ,Prague,SmartApe OU,SmartApe OU,AS62212 SmartApe OU,85.137.166.66,True
Czechia,CZ,Prague,Green Floid LLC,Green Floid LLC,AS204957 GREEN FLOID LLC,195.123.244.83,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.128,True
Czechia,CZ,Prague,Green Floid LLC,GF PRG,AS204957 GREEN FLOID LLC,46.28.70.117,True
Czechia,CZ,Veselí nad Lužnicí,HOST-TELECOM.COM s.r.o.,HOST-TELECOM.COM s.r.o.,AS51248 Host-Telecom.com s.r.o.,5.43.224.162,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.115,True
Czechia,CZ,Prague,SmartApe OU,ESA,AS62212 SmartApe OU,91.184.250.182,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.213,True
Czechia,CZ,Prague,SmartApe OU,ESA,AS62212 SmartApe OU,87.236.146.62,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.162,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.160,True
Czechia,CZ,Prague,INTERNET CZ,Cloud Services,"AS24806 INTERNET CZ, a.s.",81.2.236.23,True
Czechia,CZ,Prague,Green Floid LLC,Green Floid LLC,AS204957 GREEN FLOID LLC,62.233.57.156,True
Czechia,CZ,Prague,Green Floid LLC,Friendhosting LTD,AS204957 GREEN FLOID LLC,185.253.46.27,True
Czechia,CZ,Ostrava,"OvaNet, a.s.",Ovanet Infrastructure TO,"AS39817 OvaNet, a.s.",81.91.214.162,True
Czechia,CZ,Prague,Green Floid LLC,Friendhosting LTD,AS204957 GREEN FLOID LLC,185.253.47.6,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.149,True
Czechia,CZ,Prague,OVH SAS,OVH.CZ s.r.o,AS16276 OVH SAS,141.227.135.228,True
Czechia,CZ,Prague,Iryna Maksymiv trading as Cake Home,Netutils,AS199915 Iryna Maksymiv trading as Cake Home,222.167.255.211,True
