country,countryCode,city,isp,org,as,query,valid
Denmark,DK,Nørre Åby,Webdock.io ApS,Webdock.io ApS,AS44803 Webdock.io ApS,193.180.215.69,True
Denmark,DK,Nørre Åby,Webdock.io ApS,Webdock.io ApS,AS44803 Webdock.io ApS,193.180.213.29,True
Denmark,DK,Nørre Åby,Webdock.io ApS,Webdock.io ApS,AS44803 Webdock.io ApS,193.181.213.217,True
Denmark,DK,Nørre Åby,Webdock.io ApS,IPFFM - Internet Provider Frankfurt GmbH,AS44803 Webdock.io ApS,77.37.96.247,True
Denmark,DK,Nørre Åby,Webdock.io ApS,Webdock.io ApS,AS44803 Webdock.io ApS,193.180.212.103,True
Denmark,DK,Nørre Åby,Webdock.io ApS,Webdock.io ApS,AS44803 Webdock.io ApS,193.180.210.243,True
Denmark,DK,Nørre Åby,Webdock.io ApS,Webdock.io ApS,AS44803 Webdock.io ApS,193.180.209.21,True
Denmark,DK,Nørre Åby,Webdock.io ApS,IPFFM - Internet Provider Frankfurt GmbH,AS44803 Webdock.io ApS,77.37.96.132,True
Denmark,DK,Nørre Åby,Webdock.io ApS,Webdock.io ApS,AS44803 Webdock.io ApS,193.180.211.40,True
Denmark,DK,Nørre Åby,Webdock.io ApS,Webdock.io ApS,AS44803 Webdock.io ApS,193.180.208.58,True
Denmark,DK,Brøndby Strand,M247 Europe SRL,EDIS GmbH,AS9009 M247 Europe SRL,192.36.27.94,True
Denmark,DK,Nørre Åby,Webdock.io ApS,IPXO,AS44803 Webdock.io ApS,92.113.149.238,True
Denmark,DK,Copenhagen,M247 Europe SRL,3NT SOLUTIONS LLP,AS9009 M247 Europe SRL,38.180.214.162,True
Denmark,DK,Nørre Åby,Webdock.io ApS,Webdock.io ApS,AS44803 Webdock.io ApS,193.180.213.125,True
