country,countryCode,city,isp,org,as,query,valid
Estonia,EE,Tallinn,Brainoza OU,Brainoza OU,AS214790 Brainoza OU,5.181.202.60,True
Estonia,EE,Tallinn,OC NETWORKS LIMITED,1Cent Host,AS209693 OC NETWORKS LIMITED,77.239.126.75,True
Estonia,EE,Tallinn,OC NETWORKS LIMITED,1Cent Host,AS209693 OC NETWORKS LIMITED,144.31.170.86,True
Estonia,EE,Tallinn,IT-Develop DOO,IT-Develop DOO,AS211211 IT-Develop DOO,209.131.70.51,True
Estonia,EE,Tallinn,HZ Hosting Ltd,HZ Hosting Ltd,AS59711 HZ Hosting Ltd,89.150.40.152,True
Estonia,EE,Tallinn,HostSlim B.V.,HostPapa,AS207083 HostSlim B.V.,69.12.83.125,True
Estonia,EE,Tallinn,HostSlim B.V.,HostPapa,AS207083 HostSlim B.V.,69.12.83.121,True
Estonia,EE,Tallinn,IT-Develop DOO,IT-Develop DOO,AS211211 IT-Develop DOO,185.23.236.32,True
Estonia,EE,Tallinn,Aktsiaselts WaveCom,3NT SOLUTIONS LLP,AS34702 Aktsiaselts WaveCom,38.244.154.233,True
Estonia,EE,Tallinn,HostPapa,Madgenius.com,AS207083 HostSlim B.V.,216.144.231.47,True
Estonia,EE,Tallin,Baykov Ilya Sergeevich,Baykov Ilya Sergeevich,AS41745 Baykov Ilya Sergeevich,94.156.236.118,True
Estonia,EE,Tallinn,BlueVPS OU,BlueVPS OU,AS62005 BlueVPS OU,185.123.53.53,True
Estonia,EE,Tallinn,OC NETWORKS LIMITED,1Cent Host,AS209693 OC NETWORKS LIMITED,95.85.242.45,True
Estonia,EE,Jõhvi,PAGM network,Hosting Services,AS198068 P.A.G.M. OU,159.253.18.70,True
Estonia,EE,Tallinn,Brainoza OU,Brainoza OU,AS214790 Brainoza OU,185.36.141.193,True
Estonia,EE,Jõhvi,PAGM network,Hosting Services,AS198068 P.A.G.M. OU,5.45.119.206,True
Estonia,EE,Tallinn,Brainoza OU,Brainoza OU,AS214790 Brainoza OU,185.36.140.244,True
Estonia,EE,Tallinn,Intezio Worldwide Limited,Intezio Networks Estonia,AS207567 Intezio Worldwide Limited,138.124.100.155,True
