country,countryCode,city,isp,org,as,query,valid
Finland,FI,Helsinki,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,217.144.186.133,True
Finland,FI,Helsinki,u1host ltd,u1host Finland,AS213877 u1host ltd,64.188.125.46,True
Finland,FI,Helsinki,Hostkey B.V.,Hostkey B.V,AS57043 HOSTKEY B.V.,193.84.2.148,True
Finland,FI,Helsinki,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,91.108.241.216,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.57.107.58,True
Finland,FI,Helsinki,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,85.192.31.252,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,EGIHosting,AS56971 AS56971 Cloud,45.38.170.198,True
Finland,FI,Helsinki,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,85.192.37.58,True
Finland,FI,Helsinki,ZTV CORP LLC,ZTV CORP LLC,AS43581 ZTV CORP LLC,185.228.233.22,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.254.188,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.252.250,True
Finland,FI,Helsinki,Hostkey B.V.,Hostkey B.V,AS57043 HOSTKEY B.V.,194.34.236.116,True
Finland,FI,Helsinki,Snowd Security OU,Snowd Security OU,AS213459 Snowd Security OU,193.164.128.217,True
Finland,FI,Helsinki,I-servers LTD,OY Creanova Hosting Solutions LTD,AS207569 I-SERVERS LTD,46.243.4.193,True
Finland,FI,Helsinki,I-servers LTD,OY Creanova Hosting Solutions LTD,AS207569 I-SERVERS LTD,198.105.124.249,True
Finland,FI,Helsinki,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,84.22.150.2,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.57.106.15,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.254.243,True
Finland,FI,Helsinki,Hetzner Online GmbH,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,65.108.77.142,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,217.60.61.253,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.252.28,True
Finland,FI,Helsinki,Global Connectivity Solutions LLP,OY Creanova Hosting Solutions LTD,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,81.19.139.78,True
Finland,FI,Helsinki,Hetzner Online GmbH,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,65.21.109.73,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.254.115,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.216.174,True
Finland,FI,Helsinki,Global Connectivity Solutions LLP,OY Creanova Hosting Solutions LTD,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,81.19.139.230,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.56.196.17,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.192.25,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,EGIHosting,AS56971 AS56971 Cloud,45.38.143.210,True
Finland,FI,Helsinki,I-servers LTD,POWER-SERVERS-ROLE-ORG,AS207569 I-SERVERS LTD,45.133.246.237,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.216.8,True
Finland,FI,Helsinki,Hostkey B.V.,Snowd Security OU,AS57043 HOSTKEY B.V.,89.35.129.57,True
Finland,FI,Helsinki,Hypercore Ltd,Hypercore Ltd,AS203273 NetCrafters OU,91.186.212.63,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,109.248.163.191,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.216.31,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.254.78,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.192.82,True
Finland,FI,Helsinki,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,91.149.254.224,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.57.106.126,True
Finland,FI,Helsinki,Hostkey B.V.,HOSTKEY,AS57043 HOSTKEY B.V.,194.180.189.36,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.192.158,True
Finland,FI,Helsinki,Scalaxy B.V.,3NT SOLUTIONS LLP,AS58061 Scalaxy B.V.,38.244.194.78,True
Finland,FI,Helsinki,Hetzner Online GmbH,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,65.109.200.234,True
Finland,FI,Helsinki,Hostkey B.V.,HOSTKEY,AS57043 HOSTKEY B.V.,43.245.225.23,True
Finland,FI,Helsinki,Hetzner Online GmbH,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,65.109.219.57,True
Finland,FI,Helsinki,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,91.184.243.91,True
Finland,FI,Helsinki,Hetzner Online GmbH,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,46.62.146.203,True
Finland,FI,Helsinki,H2nexus LTD,H2nexus LTD,AS215730 H2NEXUS LTD,45.144.53.206,True
Finland,FI,Helsinki,I-servers LTD,OY Creanova Hosting Solutions LTD,AS207569 I-SERVERS LTD,198.105.124.106,True
Finland,FI,Helsinki,Aeza International LTD,RTM GmbH,AS210644 AEZA INTERNATIONAL LTD,62.60.237.186,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.56.204.194,True
Finland,FI,Helsinki,Hetzner Online GmbH,HETZNER-DC,AS24940 Hetzner Online GmbH,95.216.219.185,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,5.144.179.86,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,As56971,AS56971 AS56971 Cloud,45.156.22.114,True
Finland,FI,Helsinki,I-servers LTD,POWER-SERVERS-ROLE-ORG,AS207569 I-SERVERS LTD,185.188.181.55,True
Finland,FI,Helsinki,Hetzner Online GmbH,Hetzner,AS24940 Hetzner Online GmbH,135.181.84.31,True
Finland,FI,Helsinki,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,85.192.31.30,True
Finland,FI,Helsinki,OC NETWORKS LIMITED,1Cent Host,AS209693 OC NETWORKS LIMITED,83.219.97.151,True
Finland,FI,Helsinki,"Closed Joint Stock Company ""AbkhazMedia""",New Hosting Technologies LLC,"AS216300 Closed Joint Stock Company ""AbkhazMedia""",77.221.144.210,True
Finland,FI,Helsinki,Hetzner Online GmbH,Hetzner,AS24940 Hetzner Online GmbH,65.21.148.205,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.216.137,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,95.182.99.65,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.57.107.230,True
Finland,FI,Helsinki,Anton Levin,Individual Entrepreneur Anton Levin,AS50053 VDSka hosting,168.222.253.184,True
Finland,FI,Helsinki,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,77.221.159.9,True
Finland,FI,Helsinki,Anton Levin,Individual Entrepreneur Anton Levin,AS50053 VDSka hosting,168.222.253.59,True
Finland,FI,Helsinki,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,77.221.158.107,True
Finland,FI,Helsinki,Hetzner Online GmbH,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,37.27.92.9,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.254.71,True
Finland,FI,Helsinki,I-servers LTD,POWER-SERVERS-ROLE-ORG,AS207569 I-SERVERS LTD,46.243.6.25,True
Finland,FI,Helsinki,Hetzner Online GmbH,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,46.62.138.170,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.57.107.13,True
Finland,FI,Helsinki,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,92.118.233.182,True
Finland,FI,Helsinki,UpCloud Ltd,Upcloud FI Hel2,AS202053 UpCloud Ltd,94.237.18.123,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.252.184,True
Finland,FI,Helsinki,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,2.56.173.117,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,EGIHosting,AS56971 AS56971 Cloud,45.38.170.160,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.252.215,True
Finland,FI,Helsinki,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,92.118.234.39,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.57.105.164,True
Finland,FI,Helsinki,Hypercore Ltd,Hypercore Ltd,AS203273 NetCrafters OU,91.186.212.70,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.254.10,True
Finland,FI,Helsinki,Global Connectivity Solutions LLP,OY Creanova Hosting Solutions LTD,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,81.19.139.231,True
Finland,FI,Helsinki,Hetzner Online GmbH,Hetzner,AS24940 Hetzner Online GmbH,157.180.38.234,True
Finland,FI,Helsinki,Aleksei Fedorov PR Krusevac,Aleksei Fedorov PR Krusevac,AS216024 ALEKSEI FEDOROV PR KRUSEVAC,193.233.23.204,True
Finland,FI,Helsinki,Hetzner Online GmbH,HETZNER-DC,AS24940 Hetzner Online GmbH,46.62.222.64,True
Finland,FI,Helsinki,Hetzner Online GmbH,Hetzner,AS24940 Hetzner Online GmbH,65.21.122.159,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.57.26.96,True
Finland,FI,Helsinki,Global Connectivity Solutions LLP,OY Creanova Hosting Solutions LTD,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,81.19.139.20,True
Finland,FI,Helsinki,u1host ltd,u1host Finland,AS213877 u1host ltd,144.31.67.241,True
Finland,FI,Helsinki,Hetzner Online GmbH,HETZNER-DC,AS24940 Hetzner Online GmbH,46.62.245.168,True
Finland,FI,Helsinki,Hetzner Online GmbH,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,65.108.246.19,True
Finland,FI,Helsinki,Baykov Ilya Sergeevich,Baykov Ilya Sergeevich,AS41745 Baykov Ilya Sergeevich,192.145.29.34,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.57.106.250,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.57.61.224,True
Finland,FI,Helsinki,Hetzner Online GmbH,Hetzner,AS24940 Hetzner Online GmbH,65.21.182.84,True
Finland,FI,Helsinki,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,79.137.248.47,True
Finland,FI,Helsinki,Hostkey B.V.,HOSTKEY,AS57043 HOSTKEY B.V.,194.180.189.194,True
Finland,FI,Helsinki,Hetzner Online GmbH,Hetzner,AS24940 Hetzner Online GmbH,157.180.16.20,True
Finland,FI,Helsinki,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,91.103.140.20,True
Finland,FI,Helsinki,I-servers LTD,OY Creanova Hosting Solutions LTD,AS207569 I-SERVERS LTD,198.105.124.85,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,94.183.191.23,True
Finland,FI,Helsinki,UpCloud Ltd,Upcloud FI Hel1,AS202053 UpCloud Ltd,94.237.114.211,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.254.17,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.216.146,True
Finland,FI,Helsinki,Hypercore Ltd,Hypercore Ltd,AS203273 NetCrafters OU,91.186.212.228,True
Finland,FI,Helsinki,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,91.108.241.188,True
Finland,FI,Helsinki,Hetzner Online GmbH,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,37.27.92.255,True
Finland,FI,Helsinki,Aeza International LTD,Aeza Group LLC,AS210644 AEZA INTERNATIONAL LTD,79.137.206.50,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,217.19.4.95,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,46.8.71.249,True
Finland,FI,Helsinki,Aeza International LTD,NetCrafters OU,AS210644 AEZA INTERNATIONAL LTD,213.176.65.117,True
Finland,FI,Helsinki,I-servers LTD,POWER-SERVERS-ROLE-ORG,AS207569 I-SERVERS LTD,185.104.250.9,True
Finland,FI,Helsinki,Anton Levin,Individual Entrepreneur Anton Levin,AS50053 VDSka hosting,84.19.3.71,True
Finland,FI,Helsinki,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,91.149.255.37,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,Neterra Ltd,AS56971 AS56971 Cloud,109.206.236.23,True
Finland,FI,Helsinki,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.57.26.33,True
Finland,FI,Helsinki,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,95.181.167.142,True
Finland,FI,Helsinki,Aleksei Fedorov PR Krusevac,Aleksei Fedorov PR Krusevac,AS216024 ALEKSEI FEDOROV PR KRUSEVAC,109.107.171.46,True
Finland,FI,Helsinki,I-servers LTD,POWER-SERVERS-ROLE-ORG,AS207569 I-SERVERS LTD,193.124.180.238,True
Finland,FI,Helsinki,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,77.110.108.165,True
Finland,FI,Helsinki,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,141.98.169.144,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.216.76,True
Finland,FI,Helsinki,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,91.103.140.226,True
Finland,FI,Helsinki,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.12.135.32,True
Finland,FI,Helsinki,Hetzner Online GmbH,Cloud Hel1,AS24940 Hetzner Online GmbH,77.42.35.117,True
Finland,FI,Helsinki,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.192.201,True
Finland,FI,Helsinki,Hetzner Online GmbH,Hetzner Online GmbH,AS24940 Hetzner Online GmbH,65.109.196.96,True
Finland,FI,Helsinki,Hostkey B.V.,Snowd Security OU,AS57043 HOSTKEY B.V.,193.124.225.148,True
