country,countryCode,city,isp,org,as,query,valid
Hong Kong,HK,Hong Kong,Alibaba Cloud LLC,Alibaba Cloud - HK,"AS45102 Alibaba (US) Technology Co., Ltd.",47.76.146.102,True
Hong Kong,HK,Hong Kong,"Alibaba (US) Technology Co., Ltd.",Alibaba.com LLC,"AS45102 Alibaba (US) Technology Co., Ltd.",47.57.182.141,True
Hong Kong,HK,Hong Kong,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,Ucloud Information Technology (hk) Limited,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,152.32.133.246,True
Hong Kong,HK,Kwai Chung,DMIT Cloud Services,,AS906 DMIT Cloud Services,154.3.33.43,True
Hong Kong,HK,Tai Kok Tsui,LucidaCloud Limited,PacketExchange,AS139659 LUCIDACLOUD LIMITED,68.64.178.42,True
Hong Kong,HK,Hong Kong,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,217.60.248.66,True
Hong Kong,HK,Hong Kong,Alibaba Cloud LLC,Alibaba Cloud - HK,"AS45102 Alibaba (US) Technology Co., Ltd.",47.239.4.246,True
Hong Kong,HK,Kwun Tong,Cogent Communications,VH Global Limited,AS55933 Cloudie Limited,206.237.17.226,True
Hong Kong,HK,Hong Kong,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,212.192.15.182,True
Hong Kong,HK,Hong Kong,Bage Cloud LLC,Bage Cloud LLC,AS63150 BAGE CLOUD LLC,103.219.194.43,True
Hong Kong,HK,Central,PCCW IMS Limited,Hong Kong Telecommunications (HKT) Limited,AS4760 HKT Limited,219.76.13.183,True
Hong Kong,HK,Mong Kok,Cloudie Limited,Cloudie Limited,AS55933 Cloudie Limited,123.254.106.203,True
Hong Kong,HK,Hong Kong,Huawei International Pte. Ltd.,,AS136907 HUAWEI CLOUDS,159.138.138.87,True
Hong Kong,HK,Hong Kong,Google LLC,Google Cloud (asia-east2),AS396982 Google LLC,34.92.187.216,True
Hong Kong,HK,Chai Wan,365.partners INC,Adcdata Limited,AS198178 365.partners INC,138.124.111.102,True
Hong Kong,HK,Hong Kong,Aceville Pte.ltd,,"AS132203 Tencent Building, Kejizhongyi Avenue",43.161.222.233,True
Hong Kong,HK,Hong Kong,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,Ucloud Information Technology (hk) Limited,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,152.32.171.162,True
Hong Kong,HK,Kwun Tong,Cogent Communications,VH Global Limited,AS55933 Cloudie Limited,206.237.17.52,True
Hong Kong,HK,Central,PCCW IMS Limited,Hong Kong Telecommunications (HKT) Limited,AS4760 HKT Limited,219.76.13.166,True
Hong Kong,HK,Kwai Chung,Zouter Limited,Zouter Limited,AS205548 ZOUTER LIMITED,143.14.189.132,True
Hong Kong,HK,Hong Kong,Akile LTD,Akile LTD,AS401615 ACCK LLC,45.196.235.225,True
Hong Kong,HK,Hong Kong,Alibaba.com LLC,Hong Kong,"AS45102 Alibaba (US) Technology Co., Ltd.",8.210.29.68,True
Hong Kong,HK,Ho Man Tin,Cogent Communications,Nearoute Limited,AS932 XNNET LLC,38.207.132.101,True
Hong Kong,HK,Hong Kong,Akile LTD,CLOUD,AS61112 AkileCloud Network,45.207.156.255,True
Hong Kong,HK,Mong Kok,Cloudie Limited,XinYuan Interconnect (Hong Kong) Ltd,AS24544 Overcasts Limited,122.10.119.252,True
Hong Kong,HK,Hong Kong,eServer,Aleksei Fedorov PR Krusevac,AS142113 eServer,176.98.181.71,True
Hong Kong,HK,Hong Kong,Alibaba Cloud LLC,Alibaba Cloud - HK,"AS45102 Alibaba (US) Technology Co., Ltd.",47.76.218.163,True
Hong Kong,HK,Hong Kong,Akile LTD,Digital Energy Technologies Limited,AS61112 AkileCloud Network,154.16.10.4,True
Hong Kong,HK,Hong Kong,Perfect International,HONGKONG-KARVL,"AS22439 Perfect International, Inc",70.36.96.118,True
Hong Kong,HK,Hong Kong,"Alibaba (US) Technology Co., Ltd.",Alibaba.com LLC,"AS45102 Alibaba (US) Technology Co., Ltd.",43.103.6.144,True
Hong Kong,HK,Hong Kong,"Hong Kong Communications International Co., Limited","Hong Kong Communications International Co., Limited","AS140227 Hong Kong Communications International Co., Limited",154.38.116.8,True
Hong Kong,HK,Central,PCCW IMS Limited,Hong Kong Telecommunications (HKT) Limited,AS4760 HKT Limited,219.76.13.167,True
Hong Kong,HK,Hong Kong,"Alibaba (US) Technology Co., Ltd.",Alibaba.com Singapore E-Commerce Private Limited,"AS45102 Alibaba (US) Technology Co., Ltd.",8.218.189.27,True
Hong Kong,HK,Chai Wan,VMISS Inc.,Hostker LLC,AS967 VMISS Inc.,91.213.189.186,True
Hong Kong,HK,Tsuen Wan,Hytron Network Services Limited,,AS202662 Hytron Network Services,89.185.25.124,True
Hong Kong,HK,Hong Kong,263 Global Communications Limited,263 Global Communication Limited,AS142132 263 Global Communications Limited,156.230.12.71,True
Hong Kong,HK,Tsuen Wan,Leaseweb Hong Kong Limited,365 Group LLC,AS133752 LEASEWEB HONG KONG LIMITED,205.189.160.29,True
Hong Kong,HK,Hong Kong,"Alibaba (US) Technology Co., Ltd.",Alibaba.com Singapore E-Commerce Private Limited,"AS45102 Alibaba (US) Technology Co., Ltd.",8.217.180.234,True
Hong Kong,HK,Hong Kong,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,95.182.100.17,True
Hong Kong,HK,Tsing Yi,HGC Global Communications Limited,HGC Global Communications Limited,AS9304 HGC Global Communications Limited,118.141.20.85,True
Hong Kong,HK,Central,PCCW IMS Limited,Hong Kong Telecommunications (HKT) Limited,AS4760 HKT Limited,219.76.13.177,True
Hong Kong,HK,Hong Kong,NetLab Global,NetLab,AS979 NetLab Global,154.21.201.83,True
Hong Kong,HK,Hong Kong,Binary Networks Solutions LLC,Binary Networks Solutions LLC,AS21859 Zenlayer Inc,156.239.245.134,True
Hong Kong,HK,Central,PCCW IMS Limited,Hong Kong Telecommunications (HKT) Limited,AS4760 HKT Limited,219.76.13.180,True
Hong Kong,HK,Central,PCCW IMS Limited,Hong Kong Telecommunications (HKT) Limited,AS4760 HKT Limited,219.76.13.169,True
Hong Kong,HK,Hong Kong,"Alibaba (US) Technology Co., Ltd.",Alibaba.com Singapore E-Commerce Private Limited,"AS45102 Alibaba (US) Technology Co., Ltd.",8.223.63.150,True
Hong Kong,HK,Hong Kong,xTom Hong Kong Limited,Greencloud LLC,AS9312 xTom,45.128.220.81,True
Hong Kong,HK,Hong Kong,Akile LTD,Akile LTD,AS61112 AkileCloud Network,91.229.132.58,True
