country,countryCode,city,isp,org,as,query,valid
Ireland,IE,Dublin,HostPapa,RackNerd LLC,AS36352 HostPapa,107.172.145.153,True
Ireland,IE,Dublin,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,194.87.245.253,True
Ireland,IE,Dublin,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.231.207.121,True
Ireland,IE,Dublin,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.231.207.113,True
Ireland,IE,Dublin,HostPapa,,AS36352 HostPapa,198.55.103.33,True
Ireland,IE,Dublin,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.231.207.114,True
Ireland,IE,Dublin,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.231.207.119,True
Ireland,IE,Dublin,HostPapa,RackNerd LLC,AS36352 HostPapa,192.210.183.179,True
Ireland,IE,Dublin,HostPapa,VPS ACE,AS36352 HostPapa,198.55.102.125,True
Ireland,IE,Dublin,Amazon Technologies Inc.,AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc.",3.249.197.200,True
Ireland,IE,Dublin,Microsoft Corporation,Microsoft Azure Cloud (northeurope),AS8075 Microsoft Corporation,20.67.254.104,True
Ireland,IE,Dublin,Global Connectivity Solutions LLP,Global Internet Solutions LLC,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,85.159.229.122,True
Ireland,IE,Dublin,HostPapa,,AS36352 HostPapa,198.55.103.37,True
Ireland,IE,Dublin,HostPapa,VPS ACE,AS36352 HostPapa,204.44.125.34,True
