country,countryCode,city,isp,org,as,query,valid
India,IN,Bengaluru,"Aryaka Networks, Inc.",Aryaka,"AS11179 Aryaka Networks, Inc.",147.75.230.160,True
India,IN,New Delhi,NETRANEX TECHNOLOGIES (INDIA) PRIVATE LIMITED,WorkTitans B.V,AS153914 NETRANEX TECHNOLOGIES (INDIA) PRIVATE LIMITED,45.89.105.211,True
India,IN,Pune,Microsoft Corporation,Microsoft Azure Cloud (centralindia),AS8075 Microsoft Corporation,20.235.105.146,True
India,IN,Mumbai,"Akamai Technologies, Inc.","Akamai Technologies, Inc.",AS63949 Akamai Connected Cloud,172.236.187.52,True
India,IN,Pune,Microsoft Corporation,Microsoft Azure Cloud (centralindia),AS8075 Microsoft Corporation,98.70.26.236,True
India,IN,Mumbai,The Constant Company,Vultr Holdings LLC,"AS20473 The Constant Company, LLC",65.20.84.107,True
India,IN,Mumbai,Oracle Corporation,Oracle Cloud Infrastructure (ap-mumbai-1),AS31898 Oracle Corporation,129.154.251.30,True
India,IN,Mumbai,"Amazon.com, Inc.",AWS EC2 (ap-south-1),"AS16509 Amazon.com, Inc.",13.204.131.122,True
India,IN,Pune,Microsoft Corporation,Microsoft Azure Cloud (centralindia),AS8075 Microsoft Corporation,20.235.220.189,True
India,IN,Bengaluru,"Aryaka Networks, Inc.",Aryaka,"AS11179 Aryaka Networks, Inc.",147.75.230.33,True
India,IN,Mumbai,Oracle Corporation,Oracle Cloud Infrastructure (ap-mumbai-1),AS31898 Oracle Corporation,129.154.225.27,True
India,IN,Mumbai,Oracle Corporation,Oracle Cloud Infrastructure (ap-mumbai-1),AS31898 Oracle Corporation,80.225.204.3,True
