country,countryCode,city,isp,org,as,query,valid
Italy,IT,Rome,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,5.253.43.216,True
Italy,IT,Milan,BellSouth.net Inc.,Microsoft Azure Cloud (italynorth),AS8075 Microsoft Corporation,72.146.234.10,True
Italy,IT,Palermo,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,194.87.47.205,True
Italy,IT,Roma,NForce Entertainment B.V.,rack400 Cloud,AS43350 NForce Entertainment B.V.,141.11.37.3,True
Italy,IT,Palermo,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,185.198.235.43,True
Italy,IT,Gorgonzola,NTT IS SRL,,"AS199785 Cloud Hosting Solutions, Limited.",92.42.96.24,True
Italy,IT,Arezzo,Aruba S.p.A. Network,Aruba S.p.A.,AS31034 Aruba S.p.A.,94.177.160.180,True
Italy,IT,Taormina,Global Connectivity Solutions LLP,Global Connectivity Solutions LLP,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,45.155.68.176,True
Italy,IT,Rome,Aeza Group LLC,Qwarta,AS216246 Aeza Group LLC,178.159.94.113,True
Italy,IT,Arezzo,Aruba S.p.A. Network,Aruba S.p.A. - Cloud Services,AS31034 Aruba S.p.A.,80.211.139.122,True
Italy,IT,Rome,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,194.165.59.20,True
Italy,IT,Arezzo,Aruba S.p.A. Network,Aruba S.p.A. - Cloud Services,AS31034 Aruba S.p.A.,89.46.70.46,True
Italy,IT,Milan,Global Connectivity Solutions LLP,Global Connectivity Solutions LLP,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,147.45.51.217,True
Italy,IT,Milan,Hostkey B.V.,Hostkey B.V,AS57043 HOSTKEY B.V.,151.241.215.148,True
Italy,IT,Palermo,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,185.198.235.190,True
Italy,IT,Arezzo,Aruba S.p.A. Network,Aruba S.p.A. - Cloud Services,AS31034 Aruba S.p.A.,188.213.168.52,True
Italy,IT,Ponte San Pietro,Aruba S.p.A.,Aruba S.p.A. - Cloud Services,AS31034 Aruba S.p.A.,217.61.61.242,True
Italy,IT,Arezzo,Aruba S.p.A. Network,Aruba S.p.A. - Cloud Services,AS31034 Aruba S.p.A.,5.249.146.98,True
Italy,IT,Milan,"Akamai Technologies, Inc.","Akamai Technologies, Inc.",AS63949 Akamai Connected Cloud,172.232.197.85,True
Italy,IT,Arezzo,Aruba S.p.A. Network,Aruba S.p.A. - Cloud Services,AS31034 Aruba S.p.A.,80.211.231.169,True
