country,countryCode,city,isp,org,as,query,valid
Latvia,LV,Riga,SIA VEESP,Parsun Network Solutions PTY LTD,AS42532 SIA VEESP,5.34.212.92,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,45.43.77.239,True
Latvia,LV,Riga,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,193.124.22.24,True
Latvia,LV,Riga,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,103.231.73.153,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,216.173.69.114,True
Latvia,LV,Riga,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,217.60.4.249,True
Latvia,LV,Riga,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.56.28.190,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,91.197.0.63,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,37.128.207.210,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,91.197.0.100,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,91.197.3.37,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,94.158.219.94,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,195.135.254.197,True
Latvia,LV,Koknese,WorkTitans B.V.,Thehosting,AS209847 WorkTitans B.V.,45.142.215.242,True
Latvia,LV,Riga,Green Floid LLC,ITLDC Latvia network,AS50979 GREEN FLOID LLC,195.123.209.220,True
Latvia,LV,Riga,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,217.60.0.239,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,195.135.252.139,True
Latvia,LV,Riga,SIA GOOD,Riga-Riga-LV,AS39900 SIA GOOD,193.124.254.109,True
Latvia,LV,Riga,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.56.117.64,True
Latvia,LV,Riga,CloudHosting Data Center,CloudHosting SIA,AS58269 CloudHosting SIA,185.8.60.108,True
Latvia,LV,Riga,Baykov Ilya Sergeevich,Versija Ltd.,AS41745 Baykov Ilya Sergeevich,193.68.89.106,True
Latvia,LV,Riga,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,217.60.3.200,True
Latvia,LV,Riga,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,217.60.0.95,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,94.158.218.244,True
Latvia,LV,Riga,SIA VEESP,Veesp SIA,AS42532 SIA VEESP,46.32.184.50,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,77.73.71.113,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,91.197.0.125,True
Latvia,LV,Riga,Baykov Ilya Sergeevich,Versija Ltd.,AS41745 Baykov Ilya Sergeevich,193.68.89.220,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,188.253.23.219,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,77.73.71.39,True
Latvia,LV,Riga,SIA VEESP,Veesp SIA,AS42532 SIA VEESP,46.32.187.138,True
Latvia,LV,Riga,RETN Limited,,AS9002 RETN Limited,31.128.35.188,True
Latvia,LV,Riga,SIA VEESP,Parsun Network Solutions PTY LTD,AS42532 SIA VEESP,5.34.215.12,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,216.173.70.192,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,188.253.16.214,True
Latvia,LV,Riga,SIA VEESP,Veesp,AS42532 SIA VEESP,185.242.105.115,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,45.43.76.218,True
Latvia,LV,Riga,ahbr company limited,Baykov Ilya Sergeevich,AS30938 www.abstation.net,5.39.250.38,True
Latvia,LV,Riga,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,217.60.0.144,True
Latvia,LV,Riga,SIA VEESP,Veesp,AS42532 SIA VEESP,185.242.107.169,True
Latvia,LV,Riga,SIA VEESP,Veesp,AS42532 SIA VEESP,212.6.44.232,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,195.135.255.236,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,216.173.68.156,True
Latvia,LV,Riga,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,194.87.89.41,True
Latvia,LV,Riga,SIA VEESP,Veesp,AS42532 SIA VEESP,185.22.172.236,True
Latvia,LV,Riga,SIA VEESP,Parsun Network Solutions PTY LTD,AS42532 SIA VEESP,5.34.211.35,True
Latvia,LV,Riga,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,62.76.239.66,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,37.128.207.179,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,195.135.254.95,True
Latvia,LV,Riga,SIA VEESP,Parsun Network Solutions PTY LTD,AS42532 SIA VEESP,5.34.215.68,True
Latvia,LV,Riga,Green Floid LLC,Friendhosting LTD,AS50979 GREEN FLOID LLC,195.20.208.4,True
Latvia,LV,Riga,SIA GOOD,Media Land LLC,AS39900 SIA GOOD,194.26.27.27,True
Latvia,LV,Riga,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,217.60.1.4,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,45.43.77.109,True
Latvia,LV,Riga,SIA VEESP,Parsun Network Solutions PTY LTD,AS42532 SIA VEESP,5.34.215.226,True
Latvia,LV,Riga,Green Floid LLC,Friendhosting LTD,AS50979 GREEN FLOID LLC,92.118.148.110,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,188.253.19.164,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,5.34.208.18,True
Latvia,LV,Riga,SIA VEESP,Veesp SIA,AS42532 SIA VEESP,46.32.187.124,True
Latvia,LV,Riga,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.57.29.93,True
Latvia,LV,Riga,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.57.158.134,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,91.197.2.19,True
Latvia,LV,Riga,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,192.124.209.53,True
Latvia,LV,Riga,Virtual Data Center Inc,Versija SIA,AS199152 Virtual Data Center Inc,213.21.222.122,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,188.253.18.69,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,195.135.254.201,True
Latvia,LV,Riga,SIA VEESP,Veesp,AS42532 SIA VEESP,185.22.174.68,True
Latvia,LV,Riga,SIA VEESP,Parsun Network Solutions PTY LTD,AS42532 SIA VEESP,5.34.212.223,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,5.34.210.234,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,188.253.23.30,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,91.197.0.187,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,37.128.204.218,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,195.135.254.64,True
Latvia,LV,Riga,Green Floid LLC,ITLDC Latvia network,AS50979 GREEN FLOID LLC,195.123.209.166,True
Latvia,LV,Riga,RETN Limited,BGT Ripe,AS9002 RETN Limited,155.212.225.26,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,94.158.219.248,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,37.128.206.49,True
Latvia,LV,Riga,Baykov Ilya Sergeevich,Baykov Ilya Sergeevich,AS41745 Baykov Ilya Sergeevich,138.124.182.178,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,37.128.207.133,True
Latvia,LV,Riga,Baykov Ilya Sergeevich,Baykov Ilya Sergeevich,AS41745 Baykov Ilya Sergeevich,185.113.139.99,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,188.253.23.218,True
Latvia,LV,Riga,Green Floid LLC,Friendhosting LTD,AS50979 GREEN FLOID LLC,195.20.208.121,True
Latvia,LV,Riga,SIA VEESP,Parsun Network Solutions PTY LTD,AS42532 SIA VEESP,5.34.215.232,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,188.253.22.150,True
Latvia,LV,Riga,SIA VEESP,Veesp SIA,AS42532 SIA VEESP,46.32.184.75,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,216.173.69.143,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,188.253.23.211,True
Latvia,LV,Riga,SIA VEESP,Veesp,AS42532 SIA VEESP,212.6.44.68,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,45.43.79.130,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,188.253.23.185,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,216.173.68.144,True
Latvia,LV,Riga,SIA VEESP,Parsun Network Solutions PTY LTD,AS42532 SIA VEESP,5.34.212.114,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,5.34.208.204,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,195.135.255.74,True
Latvia,LV,Riga,SIA VEESP,Veesp SIA,AS42532 SIA VEESP,46.32.186.85,True
Latvia,LV,Riga,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.56.27.128,True
Latvia,LV,Riga,VERNET,Versija SIA,AS199152 Virtual Data Center Inc,213.21.227.183,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,188.253.21.32,True
Latvia,LV,Riga,Green Floid LLC,Friendhosting LTD,AS50979 GREEN FLOID LLC,195.20.208.128,True
Latvia,LV,Riga,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,217.60.2.31,True
Latvia,LV,Riga,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,217.60.3.6,True
Latvia,LV,Riga,SIA VEESP,Veesp SIA,AS42532 SIA VEESP,46.32.185.152,True
Latvia,LV,Riga,SIA VEESP,Veesp,AS42532 SIA VEESP,185.242.106.251,True
Latvia,LV,Riga,SIA GOOD,Riga-Riga-LV,AS39900 SIA GOOD,193.124.254.63,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,45.43.79.225,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,195.135.252.244,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,188.253.22.137,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,37.128.206.243,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,188.253.20.23,True
Latvia,LV,Riga,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,217.60.6.24,True
Latvia,LV,Riga,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,5.34.208.208,True
Latvia,LV,Riga,SIA VEESP,Parsun Network Solutions PTY LTD,AS42532 SIA VEESP,5.34.214.83,True
