country,countryCode,city,isp,org,as,query,valid
Moldova,MD,Chisinau,Alexhost SRL,Alexhost SRL,AS200019 ALEXHOST SRL,45.86.86.53,True
Moldova,MD,Chisinau,Alexhost SRL,Alexhost S.R.L,AS200019 ALEXHOST SRL,91.208.162.209,True
Moldova,MD,Chisinau,Alexhost SRL,Alexhost SRL,AS200019 ALEXHOST SRL,37.221.67.104,True
Moldova,MD,Tighina,Global Connectivity Solutions LLP,Global Connectivity Solutions LLP,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,94.103.0.67,True
Moldova,MD,Chisinau,Baxet Group Inc,InterLIR LLC,AS26383 Baxet Group Inc.,166.88.234.116,True
Moldova,MD,Chisinau,Alexhost SRL,Alexhost SRL,AS200019 ALEXHOST SRL,159.253.120.204,True
Moldova,MD,Chisinau,Alexhost SRL,Alexhost SRL,AS200019 ALEXHOST SRL,176.125.243.158,True
Moldova,MD,Chisinau,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.250.148.240,True
Moldova,MD,Chisinau,Alexhost SRL,Alexhost S.R.L,AS200019 ALEXHOST SRL,91.208.162.204,True
Moldova,MD,Chisinau,MivoCloud SRL,MivoCloud SRL,AS39798 MivoCloud SRL,185.163.45.40,True
Moldova,MD,Chisinau,Alexhost SRL,Alexhost S.R.L,AS200019 ALEXHOST SRL,91.208.162.68,True
Moldova,MD,Chisinau,S.C. INFOTECH-GRUP S.R.L.,S.C. INFOTECH-GRUP S.R.L,AS201670 S.C. INFOTECH-GRUP S.R.L.,93.185.165.32,True
Moldova,MD,Chisinau,Alexhost SRL,Alexhost S.R.L,AS200019 ALEXHOST SRL,91.208.206.103,True
Moldova,MD,Chisinau,Alexhost SRL,Alexhost SRL,AS200019 ALEXHOST SRL,176.125.243.48,True
Moldova,MD,Chisinau,"JSC ""Moldtelecom"" S.A.",JSC Moldtelecom S.A.,AS8926 Moldtelecom SA,109.185.236.240,True
Moldova,MD,Chisinau,S.C. INFOTECH-GRUP S.R.L.,S.C. INFOTECH-GRUP S.R.L,AS201670 S.C. INFOTECH-GRUP S.R.L.,193.233.246.149,True
Moldova,MD,Chisinau,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.67.229.8,True
