country,countryCode,city,isp,org,as,query,valid
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.46,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.86,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.41,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.24,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.23,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.63,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.3,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.47,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.82,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.55,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.89,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.16,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.36,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.10,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.68,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.7,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.37,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.91,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.21,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.42,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.69,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.35,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.94,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.64,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.17,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.73,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.38,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.31,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.85,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.75,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.14,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.67,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.30,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.40,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.6,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.90,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.79,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.45,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.27,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.70,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.59,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.39,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.28,True
Montenegro,ME,Podgorica,Stolitomson Company DOO,Private Customer,AS205942 Stolitomson Company DOO,151.244.93.92,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.11,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.9,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.77,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.66,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.74,True
Montenegro,ME,Podgorica,Fomo Crew Fzco,,AS214730 Kedrov Andrii,147.90.44.207,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.19,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.5,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.49,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.56,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.8,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.54,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.65,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.78,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.57,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.33,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.15,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.25,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.88,True
Montenegro,ME,Podgorica,Iryna Maksymiv trading as Cake Home,Private Customer,AS199915 Iryna Maksymiv trading as Cake Home,147.90.26.34,True
