country,countryCode,city,isp,org,as,query,valid
Malaysia,MY,Kuala Lumpur,Evoxt Sdn. Bhd.,Evoxt Enterprise,AS149440 Evoxt Sdn. Bhd.,38.246.73.124,True
Malaysia,MY,Kuala Lumpur,Ace Data Centers,Evoxt.com,AS149440 Evoxt Sdn. Bhd.,108.165.177.149,True
Malaysia,MY,Kuala Lumpur,Evoxt SDN BHD,EVOXT,AS149440 Evoxt Sdn. Bhd.,155.254.60.17,True
Malaysia,MY,Iskandar Puteri,Advin Services LLC,Advin Services LLC,AS206216 Advin Services LLC,185.128.227.27,True
Malaysia,MY,Kuala Lumpur,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.89.107.8,True
Malaysia,MY,Kuala Lumpur,"Alibaba (US) Technology Co., Ltd.",Alibaba.com LLC,"AS45102 Alibaba (US) Technology Co., Ltd.",47.250.212.59,True
Malaysia,MY,Kuala Lumpur,Evoxt Sdn. Bhd.,Evoxt SDN BHD,AS149440 Evoxt Sdn. Bhd.,45.134.36.21,True
Malaysia,MY,Kuala Lumpur,Ace Data Centers II,Evoxt SDN BHD,AS149440 Evoxt Sdn. Bhd.,23.27.53.227,True
Malaysia,MY,Kuala Lumpur,Ace Data Centers II,Evoxt.com,AS149440 Evoxt Sdn. Bhd.,96.126.190.83,True
Malaysia,MY,Kuala Lumpur,Ace Data Centers II,Evoxt SDN BHD,AS149440 Evoxt Sdn. Bhd.,23.27.240.159,True
Malaysia,MY,Kuala Lumpur,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.89.107.125,True
Malaysia,MY,Kuala Lumpur,Ace Data Centers,Evoxt.com,AS149440 Evoxt Sdn. Bhd.,166.0.253.126,True
Malaysia,MY,Kuala Lumpur,Kaopu Cloud HK Limited,LightNode-MY,AS138915 Kaopu Cloud HK Limited,38.54.125.14,True
Malaysia,MY,Johor Bahru,Terabix,Ttsb,AS137552 Terabix,45.249.91.207,True
