country,countryCode,city,isp,org,as,query,valid
Romania,RO,Bucharest,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,5.253.40.32,True
Romania,RO,Bucharest,M247 Europe SRL,3NT SOLUTIONS LLP,AS9009 M247 Europe SRL,38.180.35.88,True
Romania,RO,Timișoara,Unmanaged LTD,Rare Mood Agency SRL,AS47890 UNMANAGED LTD,45.13.38.120,True
Romania,RO,Bucharest,Alexhost SRL,AlexHost SRL,AS200019 ALEXHOST SRL,81.180.92.39,True
Romania,RO,Bucharest,Green Floid LLC,,AS204957 GREEN FLOID LLC,85.90.196.11,True
Romania,RO,Bucharest,M247 Europe SRL,3NT SOLUTIONS LLP,AS9009 M247 Europe SRL,38.180.35.205,True
Romania,RO,Bucharest,BL Networks,BL Networks,AS399629 BL Networks,64.7.198.92,True
Romania,RO,Bucharest,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,5.253.40.43,True
Romania,RO,Bucharest,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.67.34.89,True
Romania,RO,Bucharest,Alexhost SRL,AlexHost SRL,AS200019 ALEXHOST SRL,81.180.92.138,True
Romania,RO,Bucharest,Zergrush SRL,Zergrush SRL,AS39622 ZERGRUSH SRL,193.168.143.99,True
Romania,RO,Bucharest,ZetServers,iHostART Man Hosting SRL,AS25198 ZetServers,94.177.106.185,True
Romania,RO,Bucharest,Managed by IROKO Networks,IROKO Networks Corporation,AS9009 M247 Europe SRL,45.136.199.148,True
Romania,RO,Bucharest,Alexhost SRL,AlexHost SRL,AS200019 ALEXHOST SRL,81.180.92.56,True
Romania,RO,Bucharest,Alexhost SRL,AlexHost SRL,AS200019 ALEXHOST SRL,81.180.92.120,True
Romania,RO,Bucharest,M247 Europe SRL,3NT SOLUTIONS LLP,AS9009 M247 Europe SRL,38.180.205.71,True
Romania,RO,Bucharest,Alexhost SRL,AlexHost SRL,AS200019 ALEXHOST SRL,81.180.93.207,True
Romania,RO,Bucharest,Green Floid LLC,,AS204957 GREEN FLOID LLC,85.90.196.38,True
Romania,RO,Bucharest,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,5.182.37.203,True
Romania,RO,Bucharest,Data Node SRL,SC Acvile Tech SRL,AS48881 DataNode DC SRL,185.104.181.228,True
Romania,RO,Bucharest,Alexhost SRL,AlexHost SRL,AS200019 ALEXHOST SRL,81.180.92.41,True
Romania,RO,Bucharest,Alexhost SRL,AlexHost SRL,AS200019 ALEXHOST SRL,81.180.92.155,True
Romania,RO,Bucharest,M247 Europe SRL,IROKO Networks Corporation,AS9009 M247 Europe SRL,176.97.76.192,True
Romania,RO,Timișoara,Acvile Tech SRL,Acvile Tech SRL,AS48881 DataNode DC SRL,81.181.166.197,True
Romania,RO,Bucharest,Green Floid LLC,,AS204957 GREEN FLOID LLC,82.117.255.207,True
Romania,RO,Bucharest,BL Networks,BL Networks,AS399629 BL Networks,96.9.124.161,True
Romania,RO,Bucharest,M247 Europe SRL,3NT SOLUTIONS LLP,AS9009 M247 Europe SRL,38.244.171.229,True
