country,countryCode,city,isp,org,as,query,valid
Serbia,RS,Belgrade,EDIS-RS,EDIS GmbH,AS9009 M247 Europe SRL,89.46.236.145,True
Serbia,RS,Belgrade,M247 Europe SRL,3NT SOLUTIONS LLP,AS9009 M247 Europe SRL,38.180.100.80,True
Serbia,RS,Belgrade,WorkTitans B.V.,Serbian Open Exchange DOO,AS209847 WorkTitans B.V.,45.89.55.70,True
Serbia,RS,Belgrade,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.15.160.220,True
Serbia,RS,Belgrade,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.15.160.250,True
Serbia,RS,Belgrade,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.15.160.57,True
Serbia,RS,Belgrade,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,2.56.172.184,True
Serbia,RS,Belgrade,WorkTitans B.V.,Serbian Open Exchange DOO,AS209847 WorkTitans B.V.,45.89.55.205,True
Serbia,RS,Belgrade,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.15.160.155,True
Serbia,RS,Belgrade,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.15.160.249,True
