country,countryCode,city,isp,org,as,query,valid
Sweden,SE,Stockholm,xorek.cloud International LTD,Servers Tech Fzco,AS210644 AEZA INTERNATIONAL LTD,89.22.226.39,True
Sweden,SE,Stockholm,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,109.120.135.49,True
Sweden,SE,Stockholm,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,213.165.32.166,True
Sweden,SE,Stockholm,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,213.21.250.61,True
Sweden,SE,Stockholm,Hypercore Ltd,Hypercore Ltd,AS203273 NetCrafters OU,91.186.216.142,True
Sweden,SE,Stockholm,xorek.cloud International LTD,xorek.cloud International LTD,AS210644 AEZA INTERNATIONAL LTD,185.230.143.210,True
Sweden,SE,Stockholm,Hypercore Ltd,Hypercore Ltd,AS203273 NetCrafters OU,91.186.219.129,True
Sweden,SE,Stockholm,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,138.124.26.90,True
Sweden,SE,Stockholm,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,147.45.73.185,True
Sweden,SE,Stockholm,xorek.cloud International LTD,xorek.cloud International LTD,AS210644 AEZA INTERNATIONAL LTD,212.113.103.4,True
Sweden,SE,Stockholm,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,31.192.244.129,True
Sweden,SE,Stockholm,Hypercore Ltd,Hypercore Ltd,AS203273 NetCrafters OU,91.186.219.82,True
Sweden,SE,Stockholm,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,138.124.25.162,True
Sweden,SE,Stockholm,SIA VEESP,Veesp,AS42532 SIA VEESP,94.242.58.117,True
Sweden,SE,Stockholm,Hypercore Ltd,Hypercore Ltd,AS203273 NetCrafters OU,91.186.219.217,True
Sweden,SE,Stockholm,Hypercore Ltd,RTM GmbH,AS203273 NetCrafters OU,62.60.153.18,True
Sweden,SE,Stockholm,SIA VEESP,Veesp,AS42532 SIA VEESP,94.242.58.82,True
Sweden,SE,Stockholm,YOURSERVER,,AS52173 Sia Nano IT,185.82.127.156,True
Sweden,SE,Stockholm,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,62.182.192.194,True
Sweden,SE,Stockholm,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,77.110.121.93,True
Sweden,SE,Stockholm,Hypercore Ltd,RTM GmbH,AS203273 NetCrafters OU,62.60.153.49,True
Sweden,SE,Stockholm,Hypercore Ltd,RTM GmbH,AS203273 NetCrafters OU,62.60.152.138,True
Sweden,SE,Stockholm,Hypercore Ltd,Hypercore Ltd,AS203273 NetCrafters OU,91.186.219.214,True
Sweden,SE,Stockholm,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,62.182.192.35,True
Sweden,SE,Stockholm,xorek.cloud International LTD,Servers Tech Fzco,AS210644 AEZA INTERNATIONAL LTD,89.22.230.42,True
Sweden,SE,Stockholm,"Kamatera, Inc.",Cloudwebmanage EU ST,"AS36007 Kamatera, Inc.",185.139.228.126,True
Sweden,SE,Stockholm,xorek.cloud International LTD,xorek.cloud International LTD,AS25369 Hydra Communications Ltd,193.188.20.224,True
Sweden,SE,Stockholm,Hypercore Ltd,Hypercore Ltd,AS203273 NetCrafters OU,91.186.218.253,True
Sweden,SE,Stockholm,xorek.cloud International LTD,xorek.cloud International LTD,AS210644 AEZA INTERNATIONAL LTD,89.169.34.99,True
