country,countryCode,city,isp,org,as,query,valid
Türkiye,TR,Istanbul,"Fiba Cloud Operation Company, LLC","White Label Services, LLC","AS44382 Fiba Cloud Operation Company, LLC",103.83.87.133,True
Turkey,TR,Istanbul,Sunucun Bilgi Iletisim Teknolojileri ve Ticaret Ltd. Sti.,Sunucun Bilgi Iletisim Teknolojileri VE Ticaret Limited Sirketi,AS197450 Sunucun Bilgi Iletisim Teknolojileri ve Ticaret Ltd. Sti.,212.64.199.152,True
Türkiye,TR,Istanbul,"Fiba Cloud Operation Company, LLC","White Label Services, LLC","AS44382 Fiba Cloud Operation Company, LLC",194.116.236.86,True
Turkey,TR,Izmir,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,62.3.12.185,True
Türkiye,TR,Izmir,GLB Bulut Teknolojisi Limited Sirketi,GLB Bulut Teknolojisi Limited Sirketi,AS48207 GLB Bulut Teknolojisi Limited Sirketi,194.135.34.121,True
Türkiye,TR,Istanbul,Global Connectivity Solutions LLP,Global Connectivity Solutions LLP,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,83.217.9.70,True
Turkey,TR,Izmir,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,2.56.127.230,True
Türkiye,TR,Ankara,365.partners INC,Plant Holding GMBH,AS198178 365.partners INC,138.124.107.132,True
Türkiye,TR,Istanbul,Hostigger INC.,Hostigger INC,AS205399 Hostigger INC.,185.219.132.27,True
Turkey,TR,Ankara,365.partners INC,"""Euro Crypt"" EOOD",AS198178 365.partners INC,212.102.107.82,True
Türkiye,TR,Ankara,365.partners INC,Plant Holding GMBH,AS198178 365.partners INC,138.124.107.124,True
Türkiye,TR,Izmir,GLB Bulut Teknolojisi Limited Sirketi,GLB Bulut Teknolojisi Limited Sirketi,AS48207 GLB Bulut Teknolojisi Limited Sirketi,194.135.34.198,True
Türkiye,TR,Istanbul,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,212.192.6.42,True
Türkiye,TR,Istanbul,YottaSrc,YottaSrc,AS213535 YottaSrc,107.161.174.99,True
Türkiye,TR,Istanbul,Global Connectivity Solutions LLP,Global Connectivity Solutions LLP,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,62.133.63.61,True
Türkiye,TR,Istanbul,"Fiba Cloud Operation Company, LLC","White Label Services, LLC","AS44382 Fiba Cloud Operation Company, LLC",45.141.148.141,True
Türkiye,TR,Izmir,GLB Bulut Teknolojisi Limited Sirketi,GLB Bulut Teknolojisi Limited Sirketi,AS48207 GLB Bulut Teknolojisi Limited Sirketi,138.249.20.76,True
Türkiye,TR,Istanbul,Hostkey B.V.,Hostkey B.V,AS57043 HOSTKEY B.V.,82.26.198.89,True
Türkiye,TR,Istanbul,Hostigger INC.,Hostigger INC,AS205399 Hostigger INC.,185.219.133.106,True
Turkey,TR,Izmir,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.235.243.172,True
Turkey,TR,Ümraniye,TurkTelecom,,AS9121 Turk Telekomunikasyon Anonim Sirketi,95.0.130.96,True
Turkey,TR,Izmir,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.89.52.85,True
Türkiye,TR,Istanbul,"Fiba Cloud Operation Company, LLC",White Label,"AS44382 Fiba Cloud Operation Company, LLC",103.83.86.172,True
Türkiye,TR,Istanbul,Scalaxy B.V.,3NT SOLUTIONS LLP,AS58061 Scalaxy B.V.,38.180.113.22,True
Turkey,TR,Istanbul,Superonline Iletisim Hizmetleri A.S,Turkcell Iletisim Hizmetleri,AS34984 Superonline Iletisim Hizmetleri A.S.,45.67.202.36,True
