country,countryCode,city,isp,org,as,query,valid
Spain,ES,Madrid,First Server Limited,,AS200740 FIRST SERVER LIMITED,185.114.72.31,True
Spain,ES,Madrid,ZhouyiSat Communications,JaJoJoo LLC,AS400992 ZhouyiSat Communications,185.236.25.74,True
Spain,ES,Madrid,AS8560 ES,,AS8560 IONOS SE,217.72.207.16,True
Spain,ES,Madrid,The Constant Company,"Vultr Holdings, LLC","AS20473 The Constant Company, LLC",208.85.19.254,True
Spain,ES,Barcelona,FORNEX,Fornex Hosting S.L.,AS200220 servinga GmbH,162.248.162.129,True
Spain,ES,Madrid,ZhouyiSat Communications,Huize Holdings LLC,AS400992 ZhouyiSat Communications,45.150.195.184,True
Spain,ES,Madrid,ZhouyiSat Communications,JaJoJoo LLC,AS400992 ZhouyiSat Communications,193.17.183.6,True
Spain,ES,Madrid,BlueVPS OU,BV Na26,AS62005 BlueVPS OU,45.86.229.131,True
Spain,ES,Madrid,ZhouyiSat Communications,JaJoJoo LLC,AS400992 ZhouyiSat Communications,193.17.183.204,True
Spain,ES,Madrid,"The Constant Company, LLC","The Constant Company, LLC","AS20473 The Constant Company, LLC",65.20.103.129,True
