country,countryCode,city,isp,org,as,query,valid
Netherlands,NL,Amsterdam,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.15.18.41,True
Netherlands,NL,Amsterdam,Baxet Group Inc,InterLIR LLC,AS26383 Baxet Group Inc.,166.1.201.112,True
Netherlands,NL,Amsterdam,Melbikomas UAB,Melbikomas UAB,AS56630 Melbikomas UAB,213.183.61.100,True
Netherlands,NL,Amsterdam,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,176.124.203.197,True
Netherlands,NL,Amsterdam,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,85.192.40.25,True
Netherlands,NL,Amsterdam,Oracle Corporation,Oracle Cloud Infrastructure (eu-amsterdam-1),AS31898 Oracle Corporation,152.70.55.165,True
Netherlands,NL,Dronten,The Infrastructure Group B.V.,TIG,AS60404 The Infrastructure Group B.V.,5.255.120.214,True
The Netherlands,NL,Amsterdam,Servers Tech Fzco,Servers Tech Fzco,AS216071 SERVERS TECH FZCO,62.84.102.169,True
Netherlands,NL,Amsterdam,SIA VEESP,Veesp SIA,AS42532 SIA VEESP,188.253.27.55,True
Netherlands,NL,Amsterdam,First Server Limited,First Server Limited,AS200740 FIRST SERVER LIMITED,87.239.251.30,True
The Netherlands,NL,Enschede,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,91.242.229.153,True
The Netherlands,NL,Amsterdam,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,83.147.253.226,True
Netherlands,NL,Amsterdam,Hypercore Ltd,RTM GmbH,AS203273 NetCrafters OU,62.60.245.202,True
Netherlands,NL,Amsterdam,SIA VEESP,Veesp SIA,AS42532 SIA VEESP,188.253.24.229,True
The Netherlands,NL,Meppel,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.12.108.236,True
The Netherlands,NL,Meppel,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,85.208.110.56,True
Netherlands,NL,Amsterdam,CGI GLOBAL LIMITED,CloudBackbone,AS56971 AS56971 Cloud,185.31.200.5,True
Netherlands,NL,Amsterdam,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,82.115.6.129,True
Netherlands,NL,Amsterdam,"DigitalOcean, LLC",Digital Ocean,"AS14061 DigitalOcean, LLC",188.166.110.88,True
Netherlands,NL,Amsterdam,Clodo Cloud Service CO. L.L.C,Clodo Cloud Service CO. L.L.C,AS216154 CLODO CLOUD SERVICE CO. L.L.C,103.90.75.41,True
Netherlands,NL,Amsterdam,Scalaxy B.V.,3NT SOLUTIONS LLP,AS58061 Scalaxy B.V.,38.180.160.199,True
Netherlands,NL,Amsterdam,"The Constant Company, LLC",Vultr Holdings LLC Amsterdam,"AS20473 The Constant Company, LLC",78.141.219.233,True
Netherlands,NL,Amsterdam,Oracle Corporation,Oracle Cloud Infrastructure (eu-amsterdam-1),AS31898 Oracle Corporation,152.70.59.90,True
Netherlands,NL,Amsterdam,HostHatch,HostHatch,"AS63473 HostHatch, LLC",45.151.142.117,True
Netherlands,NL,Amsterdam,Hypercore Ltd,RTM GmbH,AS203273 NetCrafters OU,62.60.244.195,True
Netherlands,NL,Amsterdam,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,89.208.105.142,True
Netherlands,NL,Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",165.232.81.187,True
Netherlands,NL,Amsterdam,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,212.192.20.65,True
The Netherlands,NL,Amsterdam,Servers Tech Fzco,Servers Tech Fzco,AS216071 SERVERS TECH FZCO,212.118.40.20,True
Netherlands,NL,Amsterdam,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,85.192.41.37,True
Netherlands,NL,Amsterdam,CGI GLOBAL LIMITED,As56971,AS56971 AS56971 Cloud,178.255.222.118,True
Netherlands,NL,Amsterdam,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.58.220.236,True
Netherlands,NL,Amsterdam,Choopa,"Vultr Holdings, LLC","AS20473 The Constant Company, LLC",45.77.137.3,True
Netherlands,NL,Amsterdam,SIA VEESP,Veesp SIA,AS42532 SIA VEESP,188.253.24.215,True
Netherlands,NL,Amsterdam,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,194.87.82.235,True
Netherlands,NL,Amsterdam,Hypercore Ltd,RTM GmbH,AS203273 NetCrafters OU,62.60.245.116,True
Netherlands,NL,Amsterdam,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,185.125.100.208,True
The Netherlands,NL,Meppel,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.236.233.102,True
The Netherlands,NL,Enschede,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.216.13.153,True
Netherlands,NL,Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",164.92.157.131,True
The Netherlands,NL,Amsterdam,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,91.242.229.110,True
Netherlands,NL,Amsterdam,CGI GLOBAL LIMITED,As56971,AS56971 AS56971 Cloud,194.116.216.143,True
Netherlands,NL,Amsterdam,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,31.59.174.251,True
Netherlands,NL,Amsterdam,SIA VEESP,Veesp SIA,AS42532 SIA VEESP,188.253.26.48,True
Netherlands,NL,Amsterdam,1337 Services GmbH,,AS210558 1337 Services GmbH,45.94.31.86,True
The Netherlands,NL,Meppel,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.8.145.149,True
Netherlands,NL,Amsterdam,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,212.193.1.222,True
Netherlands,NL,Amsterdam,Scalaxy B.V.,3NT SOLUTIONS LLP,AS58061 Scalaxy B.V.,38.180.115.251,True
