country,countryCode,city,isp,org,as,query,valid
Russia,RU,Moscow,"JSC ""TIMEWEB""","JSC ""TIMEWEB""",AS9123 JSC TIMEWEB,81.200.158.206,True
Russia,RU,Moscow,JSC IOT,JSC IOT,AS29182 JSC IOT,37.230.114.182,True
Russia,RU,St Petersburg,"JSC ""TIMEWEB""","JSC ""TIMEWEB""",AS9123 JSC TIMEWEB,85.193.84.30,True
Russia,RU,Moscow,"""Domain names registrar REG.RU"", Ltd",Regru Network,"AS197695 Domain names registrar REG.RU, Ltd",194.58.109.206,True
Russia,RU,Khimki,JSC IOT,JSC Datacenter,AS29182 JSC IOT,77.246.156.46,True
Russia,RU,Moscow,Reg.Ru,,"AS197695 Domain names registrar REG.RU, Ltd",194.58.98.15,True
Russia,RU,Moscow,Petersburg Internet Network ltd.,PINVDS OU,AS216368 Petersburg Internet Network ltd.,5.188.88.74,True
Russia,RU,St Petersburg,"JSC ""TIMEWEB""","JSC ""TIMEWEB""",AS9123 JSC TIMEWEB,46.229.212.218,True
Russia,RU,St Petersburg,LLC Baxet,Baxet Group Inc,AS51659 LLC Baxet,195.58.48.252,True
Russia,RU,St Petersburg,JSC Selectel,,AS49505 JSC Selectel,5.188.118.92,True
Russia,RU,St Petersburg,JSC Selectel,,AS49505 JSC Selectel,31.129.48.139,True
Russia,RU,Volokonovka,LINKFOR,LINKFOR LLC,AS61223 LINKFOR LLC,89.23.106.39,True
Russia,RU,Moscow,Hosting technology LTD,Hosting technology LTD,AS48282 Hosting technology LTD,93.183.94.78,True
Russia,RU,Moscow,Aeza International LTD,Aeza Group LLC,AS210644 AEZA GROUP LLC,77.232.143.39,True
Russia,RU,Moscow,"""Cloud Technologies"" LLC trading as Cloud.ru",Cloud.ru,AS208677 Cloud Technologies LLC trading as Cloud.ru,82.202.143.242,True
Russia,RU,Moscow,Selectel,,AS50340 JSC Selectel,5.188.78.218,True
Russia,RU,Moscow,Reg.Ru,,"AS197695 Domain names registrar REG.RU, Ltd",185.20.224.44,True
Russia,RU,Moscow,JSC Comcor,Comcor,AS8732 JSC Comcor,178.208.156.194,True
Russia,RU,Moscow,"JSC ""TIMEWEB""","JSC ""TIMEWEB""",AS9123 JSC TIMEWEB,85.239.39.144,True
Russia,RU,Moscow,"""Domain names registrar REG.RU"", Ltd","""Domain names registrar REG.RU"", Ltd","AS197695 Domain names registrar REG.RU, Ltd",95.163.240.24,True
Russia,RU,Moscow,Yandex.Cloud LLC,Yandex.Cloud LLC,AS200350 Yandex.Cloud LLC,89.169.170.230,True
Russia,RU,Moscow,Aeza International LTD,Aeza International LTD,AS210644 AEZA GROUP LLC,185.246.217.136,True
Russia,RU,Moscow,DEF-GROUP Datahouse.ru,Def-group LLC,AS50053 VDSka hosting,45.141.184.145,True
Russia,RU,Moscow,JSC Mediasoft ekspert,Global Communications LLC,AS48347 JSC Mediasoft ekspert,46.29.115.144,True
Russia,RU,Moscow,NetCrafters OU,NetCrafters OU,AS203273 NetCrafters OU,178.253.55.191,True
Russia,RU,Novosibirsk,SELECTEL,,AS61976 JSC Selectel,79.141.73.189,True
Russia,RU,Moscow,Reg.Ru,,"AS197695 Domain names registrar REG.RU, Ltd",37.140.199.59,True
Russia,RU,Moscow,Hosting technology LTD,Hosting technology LTD,AS48282 Hosting technology LTD,178.20.41.204,True
Russia,RU,Moscow,Hostkey B.V.,"LLC ""Server v arendy""",AS50867 HOSTKEY B.V.,158.255.6.5,True
Russia,RU,Moscow,"JSC ""TIMEWEB""","JSC ""TIMEWEB""",AS9123 JSC TIMEWEB,31.130.149.85,True
Russia,RU,Moscow,Hosting technology LTD,Hosting technology LTD,AS48282 Hosting technology LTD,89.110.91.224,True
Russia,RU,Moscow,I-servers LTD,POWER-SERVERS-ROLE-ORG,AS209641 I-SERVERS LTD,185.87.48.219,True
Russia,RU,St Petersburg,JSC Selectel,Selectel,AS49505 JSC Selectel,31.129.49.103,True
Russia,RU,Irkutsk,JSC IOT,"JSC ""Server""",AS29182 JSC IOT,185.146.158.78,True
Russia,RU,Moscow,CENTER,JSC Ru-center,"AS197695 Domain names registrar REG.RU, Ltd",89.111.172.106,True
Russia,RU,St Petersburg,"JSC ""TIMEWEB""","JSC ""TIMEWEB""",AS9123 JSC TIMEWEB,83.147.246.239,True
Russia,RU,Moscow,Reg.Ru,,"AS197695 Domain names registrar REG.RU, Ltd",185.20.225.208,True
Russia,RU,Moscow,OVH SAS,HostiMan Hosting,AS16276 OVH SAS,162.19.158.37,True
Russia,RU,Moscow,Stolica Telecom Ltd.,Stolica Telecom Ltd,AS62366 Stolica Telecom Ltd.,95.46.1.22,True
Russia,RU,St Petersburg,SPRINTHOST.RU LLC,Sprinthost LLC,AS35278 SPRINTHOST.RU LLC,193.222.62.67,True
Russia,RU,Moscow,"""Domain names registrar REG.RU"", Ltd","""Domain names registrar REG.RU"", Ltd","AS197695 Domain names registrar REG.RU, Ltd",95.163.242.189,True
Russia,RU,Moscow,First Server Limited,First Server Limited,AS204997 FIRST SERVER LIMITED,178.253.38.5,True
Russia,RU,Moscow,Reg.Ru,,"AS197695 Domain names registrar REG.RU, Ltd",185.20.227.208,True
Russia,RU,Novosibirsk,Adman LLC,TW VDS,AS57494 Adman LLC,147.45.147.212,True
Russia,RU,Moscow,SERV.HOST GROUP LTD,SERV.HOST GROUP LTD,AS207957 SERV.HOST GROUP LTD,64.188.90.196,True
Russia,RU,Moscow,Beget LLC,Beget LLC,AS198610 Beget LLC,90.156.170.11,True
Russia,RU,Moscow,"""Domain names registrar REG.RU"", Ltd",Reg.Ru AG,"AS197695 Domain names registrar REG.RU, Ltd",80.78.247.164,True
Russia,RU,Moscow,LLC Baxet,LLC Baxet,AS49392 LLC Baxet,212.60.5.118,True
