country,countryCode,city,isp,org,as,query,valid
Singapore,SG,Singapore,SGP VULTR,,"AS20473 The Constant Company, LLC",66.42.51.60,True
Singapore,SG,Singapore,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",157.230.39.201,True
Singapore,SG,Singapore,Oracle Corporation,Oracle Corporation,AS31898 Oracle Corporation,140.245.57.184,True
Singapore,SG,Singapore,Akamai Technologies,Linode,AS63949 Akamai Connected Cloud,172.104.186.18,True
Singapore,SG,Singapore,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",209.97.162.172,True
Singapore,SG,Singapore,The Constant Company,"Vultr Holdings, LLC","AS20473 The Constant Company, LLC",45.77.255.153,True
Singapore,SG,Singapore,Contabo Asia Private Limited,Contabo Asia Private Limited,AS141995 Contabo Asia Private Limited,194.233.68.198,True
Singapore,SG,Singapore,First Server Limited,,AS200740 FIRST SERVER LIMITED,194.36.179.17,True
Singapore,SG,Singapore,SGP VULTR,,"AS20473 The Constant Company, LLC",139.180.143.248,True
Singapore,SG,Singapore,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",167.71.198.82,True
Singapore,SG,Singapore,Huawei International Pte. LTD,,AS136907 HUAWEI CLOUDS,188.239.21.47,True
Singapore,SG,Singapore,Cogent Communications,Starcloud Global Pte. LTD,"AS174 Cogent Communications, LLC",149.104.6.78,True
Singapore,SG,Singapore,M247 Europe SRL,3NT SOLUTIONS LLP,AS9009 M247 Europe SRL,38.180.9.18,True
Singapore,SG,Singapore,Contabo Asia Private Limited,"easyMaterial.com, Ltd.",AS141995 Contabo Asia Private Limited,62.72.44.6,True
Singapore,SG,Singapore,Lucidacloud Limited,L L IX,AS139659 LUCIDACLOUD LIMITED,83.229.121.78,True
Singapore,SG,Singapore,"Alibaba (US) Technology Co., Ltd.",Alibaba.com LLC,"AS45102 Alibaba (US) Technology Co., Ltd.",47.82.155.79,True
Singapore,SG,Singapore,Hetzner Online GmbH,Hetzner Online GmbH,AS215859 Hetzner Online GmbH,5.223.56.239,True
Singapore,SG,Singapore,Oracle Corporation,Oracle Corporation,AS31898 Oracle Corporation,213.35.122.203,True
